ID1	ID2	issue_type
hmdb:HMDB0029225	kegg:C01327	improper_match
pubchem:449034	kegg:C01327	improper_match
hmdb:HMDB0039641	pubchem:14730796	improper_match
hmdb:HMDB0060636	pubchem:75607486	improper_match
hmdb:HMDB0041677	pubchem:131753182	improper_match
hmdb:HMDB0035498	pubchem:131751783	improper_match
hmdb:HMDB0031974	pubchem:14730796	improper_match
hmdb:HMDB0033773	pubchem:14357350	improper_match
hmdb:HMDB0038199	pubchem:520468	improper_match
hmdb:HMDB0039035	pubchem:131752071	improper_match
hmdb:HMDB0010338	pubchem:53478031	improper_match
hmdb:HMDB0010338	chemspider:24765936	improper_match
hmdb:HMDB0036216	kegg:C13798	improper_match
hmdb:HMDB0000254	pubchem:1738118	improper_match
kegg:C00042	pubchem:1738118	improper_match
hmdb:HMDB0000353	pubchem:160471	improper_match
hmdb:HMDB0000353	chebi:37051	improper_match
chebi:15741	pubchem:1738118	
hmdb:HMDB0000353	chemspider:141015	improper_match
hmdb:HMDB0000367	pubchem:53481262	improper_match
hmdb:HMDB0000399	pubchem:10400369	improper_match
hmdb:HMDB0000399	chebi:139419	improper_match
hmdb:HMDB0000399	kegg:C01094	improper_match
hmdb:HMDB0000399	chemspider:8575807	improper_match
hmdb:HMDB0000513	pubchem:2969	improper_match
hmdb:HMDB0000513	chebi:30813	improper_match
chebi:30813	hmdb:HMDB0000513	improper_match
hmdb:HMDB0000513	kegg:C01571	improper_match
hmdb:HMDB0000513	chemspider:2863	improper_match
hmdb:HMDB0000779	kegg:C01479	improper_match
hmdb:HMDB0000949	pubchem:387316	improper_match
hmdb:HMDB0000949	chebi:16525	improper_match
hmdb:HMDB0000949	kegg:C05465	improper_match
hmdb:HMDB0000949	chemspider:343282	improper_match
hmdb:HMDB0001013	pubchem:439179	improper_match
hmdb:HMDB0001013	chebi:16082	improper_match
hmdb:HMDB0001013	kegg:C00190	improper_match
hmdb:HMDB0001013	chemspider:388324	improper_match
hmdb:HMDB0001241	chebi:15745	improper_match
hmdb:HMDB0001924	kegg:C13235	improper_match
hmdb:HMDB0002039	kegg:C11118	improper_match
hmdb:HMDB0002039	chebi:741468	improper_match
hmdb:HMDB0002039	pubchem:12301	improper_match
hmdb:HMDB0002039	chemspider:11798	improper_match
hmdb:HMDB0002159	pubchem:53479251	improper_match
hmdb:HMDB0002451	pubchem:53480011	improper_match
hmdb:HMDB0002472	pubchem:6419427	improper_match
hmdb:HMDB0002472	chemspider:4925178	improper_match
hmdb:HMDB0002504	chebi:67045	improper_match
hmdb:HMDB0002504	chemspider:8431308	improper_match
