"V1" "V2"
"1" "HMDB0000005" "LMFA01060002"
"2" "HMDB0000008" "LMFA01050004"
"3" "HMDB0000010" "LMST02010033"
"4" "HMDB0000011" "LMFA01050243"
"5" "HMDB0000016" "LMST02030087"
"6" "HMDB0000019" "LMFA01020274"
"7" "HMDB0000032" "LMST01010069"
"8" "HMDB0000039" "LMFA01010004"
"9" "HMDB0000042" "LMFA01010002"
"10" "HMDB0000053" "LMST02020007"
"11" "HMDB0000060" "LMFA01060003"
"12" "HMDB0000067" "LMST01010001"
"13" "HMDB0000112" "LMFA01100039"
"14" "HMDB0000145" "LMST02010004"
"15" "HMDB0000151" "LMST02010001"
"16" "HMDB0000153" "LMST02010003"
"17" "HMDB0000172" "LMFA01100047"
"18" "HMDB0000202" "LMFA01170118"
"19" "HMDB0000207" "LMFA01030002"
"20" "HMDB0000220" "LMFA01010001"
"21" "HMDB0000222" "LMFA07070004"
"22" "HMDB0000223" "LMFA01170120"
"23" "HMDB0000225" "LMFA01170121"
"24" "HMDB0000234" "LMST02020002"
"25" "HMDB0000237" "LMFA01010003"
"26" "HMDB0000243" "LMFA01060077"
"27" "HMDB0000254" "LMFA01170043"
"28" "HMDB0000256" "LMFA11000029"
"29" "HMDB0000269" "LMSP01020001"
"30" "HMDB0000305" "LMPR01090000"
"31" "HMDB0000307" "LMST04010114"
"32" "HMDB0000308" "LMST04010201"
"33" "HMDB0000311" "LMST04010117"
"34" "HMDB0000312" "LMST04010085"
"35" "HMDB0000313" "LMST02010046"
"36" "HMDB0000315" "LMST02030172"
"37" "HMDB0000317" "LMFA01050380"
"38" "HMDB0000319" "LMST02030091"
"39" "HMDB0000321" "LMFA01170049"
"40" "HMDB0000325" "LMFA01170093"
"41" "HMDB0000328" "LMST04010155"
"42" "HMDB0000331" "LMST05030007"
"43" "HMDB0000332" "LMST02030194"
"44" "HMDB0000335" "LMST02010041"
"45" "HMDB0000336" "LMFA01050382"
"46" "HMDB0000338" "LMST02010027"
"47" "HMDB0000340" "LMST04010126"
"48" "HMDB0000343" "LMST02010032"
"49" "HMDB0000344" "LMST02010052"
"50" "HMDB0000345" "LMFA01170088"
"51" "HMDB0000347" "LMST02010006"
"52" "HMDB0000348" "LMST04010046"
"53" "HMDB0000350" "LMFA01170092"
"54" "HMDB0000352" "LMST02020064"
"55" "HMDB0000354" "LMFA01050391"
"56" "HMDB0000357" "LMFA01050005"
"57" "HMDB0000360" "LMFA01050385"
"58" "HMDB0000361" "LMST04010034"
"59" "HMDB0000363" "LMST02030089"
"60" "HMDB0000364" "LMST04010065"
"61" "HMDB0000367" "LMST04010121"
"62" "HMDB0000374" "LMST02030161"
"63" "HMDB0000376" "LMST04010094"
"64" "HMDB0000377" "LMST04010123"
"65" "HMDB0000380" "LMST02010051"
"66" "HMDB0000387" "LMFA01050037"
"67" "HMDB0000390" "LMST04010089"
"68" "HMDB0000391" "LMST04010184"
"69" "HMDB0000392" "LMFA01030017"
"70" "HMDB0000393" "LMFA01170087"
"71" "HMDB0000394" "LMFA01170094"
"72" "HMDB0000395" "LMST04010090"
"73" "HMDB0000396" "LMFA01050388"
"74" "HMDB0000398" "LMFA01170096"
"75" "HMDB0000399" "LMST04010120"
"76" "HMDB0000400" "LMST04010176"
"77" "HMDB0000402" "LMFA01170083"
"78" "HMDB0000404" "LMST04010059"
"79" "HMDB0000405" "LMST02010035"
"80" "HMDB0000406" "LMST02010047"
"81" "HMDB0000409" "LMFA01050376"
"82" "HMDB0000411" "LMST04010041"
"83" "HMDB0000413" "LMFA01170089"
"84" "HMDB0000414" "LMST04010058"
"85" "HMDB0000415" "LMST04010067"
"86" "HMDB0000416" "LMST05020021"
"87" "HMDB0000418" "LMST02030193"
"88" "HMDB0000419" "LMST04010086"
"89" "HMDB0000421" "LMFA01050384"
"90" "HMDB0000422" "LMFA01170084"
"91" "HMDB0000424" "LMFA01170076"
"92" "HMDB0000427" "LMST04010098"
"93" "HMDB0000429" "LMST02010029"
"94" "HMDB0000431" "LMST02010045"
"95" "HMDB0000432" "LMST04010096"
"96" "HMDB0000437" "LMST04010116"
"97" "HMDB0000438" "LMST04010042"
"11413" "HMDB0000447" "LMST04010241"
"11429" "HMDB0000448" "LMFA01170048"
"11449" "HMDB0000449" "LMST02030142"
"11475" "HMDB0000452" "LMFA01100034"
"11509" "HMDB0000458" "LMST02020096"
"11560" "HMDB0000474" "LMFA12000043"
"11561" "HMDB0000476" "LMST04010235"
"11562" "HMDB0000477" "LMFA01030807"
"11566" "HMDB0000482" "LMFA01010008"
"11569" "HMDB0000486" "LMFA01050229"
"11572" "HMDB0000490" "LMST02020059"
"11574" "HMDB0000493" "LMST02020053"
"11580" "HMDB0000499" "LMFA01030913"
"11587" "HMDB0000510" "LMFA01170098"
"11588" "HMDB0000511" "LMFA01010010"
"11590" "HMDB0000513" "LMST01010240"
"11594" "HMDB0000518" "LMST04010032"
"11596" "HMDB0000521" "LMFA01030248"
"11597" "HMDB0000522" "LMFA01170068"
"11598" "HMDB0000523" "LMST02020098"
"11600" "HMDB0000525" "LMFA01050014"
"11601" "HMDB0000526" "LMST02030200"
"11604" "HMDB0000529" "LMFA01030226"
"11606" "HMDB0000531" "LMFA01050008"
"11609" "HMDB0000535" "LMFA01010006"
"11613" "HMDB0000540" "LMST02020097"
"11618" "HMDB0000545" "LMST05020025"
"11619" "HMDB0000546" "LMST02020104"
"11621" "HMDB0000549" "LMFA07040004"
"11622" "HMDB0000550" "LMST02020099"
"11623" "HMDB0000551" "LMST02020077"
"11625" "HMDB0000553" "LMFA01020287"
"11626" "HMDB0000554" "LMST02020052"
"11632" "HMDB0000560" "LMFA01030257"
"11633" "HMDB0000561" "LMPR01070000"
"11635" "HMDB0000564" "LMGP01010564"
"11645" "HMDB0000577" "LMST01010078"
"11661" "HMDB0000601" "LMST04030001"
"11662" "HMDB0000603" "LMFA01170045"
"11670" "HMDB0000614" "LMGP03010029"
"11673" "HMDB0000619" "LMST04010001"
"11674" "HMDB0000620" "LMFA01170109"
"11676" "HMDB0000622" "LMFA01170105"
"11677" "HMDB0000623" "LMFA01170009"
"11678" "HMDB0000624" "LMFA01050402"
"11680" "HMDB0000626" "LMST04010040"
"11681" "HMDB0000628" "LMST02020051"
"11687" "HMDB0000634" "LMFA01170099"
"11690" "HMDB0000638" "LMFA01010012"
"11699" "HMDB0000649" "LMST01040122"
"11700" "HMDB0000650" "LMFA01100043"
"11703" "HMDB0000653" "LMST05020016"
"11708" "HMDB0000659" "LMST05020027"
"11712" "HMDB0000663" "LMFA01170108"
"11713" "HMDB0000664" "LMST04010026"
"11714" "HMDB0000665" "LMFA01050381"
"11715" "HMDB0000666" "LMFA01010007"
"11721" "HMDB0000672" "LMFA01170022"
"11722" "HMDB0000673" "LMFA01030120"
"11723" "HMDB0000674" "LMGP10010027"
"11731" "HMDB0000686" "LMST04010035"
"11734" "HMDB0000689" "LMFA01020076"
"11735" "HMDB0000691" "LMFA01170041"
"11742" "HMDB0000698" "LMST05030009"
"11750" "HMDB0000708" "LMST04010445"
"11752" "HMDB0000710" "LMFA01050006"
"11753" "HMDB0000711" "LMFA01050020"
"11755" "HMDB0000713" "LMST04010006"
"11759" "HMDB0000717" "LMST04010004"
"11761" "HMDB0000720" "LMFA01060006"
"11783" "HMDB0000746" "LMFA01050408"
"11786" "HMDB0000749" "LMFA01170116"
"11789" "HMDB0000752" "LMFA01170117"
"11790" "HMDB0000753" "LMFA12000049"
"11791" "HMDB0000754" "LMFA01050396"
"11793" "HMDB0000756" "LMFA07070001"
"11797" "HMDB0000761" "LMST04010003"
"11803" "HMDB0000772" "LMFA01010019"
"11808" "HMDB0000782" "LMFA01170029"
"11810" "HMDB0000784" "LMFA01170054"
"11817" "HMDB0000791" "LMFA07070002"
"11818" "HMDB0000792" "LMFA01170006"
"11821" "HMDB0000795" "LMPR0104010022"
"11828" "HMDB0000806" "LMFA01010014"
"11833" "HMDB0000811" "LMST04010025"
"11840" "HMDB0000820" "LMFA05000101"
"11845" "HMDB0000826" "LMFA01010015"
"11846" "HMDB0000827" "LMFA01010018"
